Frame ID,Material,Color,Width (inches),Style,Finish,Category,Availability,Image Filename,description
F0176,Composite,Black,2.5,Baroque,Brushed,Gallery,Low Stock,F0176.png,"A Baroque style frame made of Composite, finished in Brushed black, with a width of 2.5 inches."
F0177,Wood,Oak,2.5,Baroque,Glossy,Home Decor,Discontinued,F0177.png,"A Baroque style frame made of Wood, finished in Glossy oak, with a width of 2.5 inches."
F0178,Metal,Charcoal,0.5,Minimalist,Glossy,Poster,Low Stock,F0178.png,"A Minimalist style frame made of Metal, finished in Glossy charcoal, with a width of 0.5 inches."
F0179,Composite,Natural,3.0,Modern,Matte,Poster,Discontinued,F0179.png,"A Modern style frame made of Composite, finished in Matte natural, with a width of 3.0 inches."
F0180,Composite,Espresso,1.5,Rustic,Satin,Gallery,Discontinued,F0180.png,"A Rustic style frame made of Composite, finished in Satin espresso, with a width of 1.5 inches."
F0181,Metal,Charcoal,0.75,Minimalist,Brushed,Poster,In Stock,F0181.png,"A Minimalist style frame made of Metal, finished in Brushed charcoal, with a width of 0.75 inches."
F0182,Composite,Champagne,2.0,Baroque,Satin,Museum,Low Stock,F0182.png,"A Baroque style frame made of Composite, finished in Satin champagne, with a width of 2.0 inches."
F0183,Wood,Natural,2.0,Minimalist,Satin,Home Decor,Discontinued,F0183.png,"A Minimalist style frame made of Wood, finished in Satin natural, with a width of 2.0 inches."
F0184,Metal,Gold,1.0,Classic,Brushed,Home Decor,In Stock,F0184.png,"A Classic style frame made of Metal, finished in Brushed gold, with a width of 1.0 inches."
F0185,Wood,Oak,2.0,Classic,Glossy,Home Decor,In Stock,F0185.png,"A Classic style frame made of Wood, finished in Glossy oak, with a width of 2.0 inches."
F0186,Metal,White,1.25,Modern,Brushed,Home Decor,Low Stock,F0186.png,"A Modern style frame made of Metal, finished in Brushed white, with a width of 1.25 inches."
F0187,Composite,Espresso,1.5,Modern,Satin,Poster,Discontinued,F0187.png,"A Modern style frame made of Composite, finished in Satin espresso, with a width of 1.5 inches."
F0188,Wood,Oak,1.0,Rustic,Matte,Poster,In Stock,F0188.png,"A Rustic style frame made of Wood, finished in Matte oak, with a width of 1.0 inches."
F0189,Wood,Walnut,2.25,Vintage,Satin,Home Decor,In Stock,F0189.png,"A Vintage style frame made of Wood, finished in Satin walnut, with a width of 2.25 inches."
F0190,Metal,Black,1.25,Minimalist,Glossy,Gallery,Low Stock,F0190.png,"A Minimalist style frame made of Metal, finished in Glossy black, with a width of 1.25 inches."
F0191,Composite,Oak,1.5,Modern,Matte,Poster,In Stock,F0191.png,"A Modern style frame made of Composite, finished in Matte oak, with a width of 1.5 inches."
F0192,Metal,Champagne,3.0,Modern,Satin,Gallery,Discontinued,F0192.png,"A Modern style frame made of Metal, finished in Satin champagne, with a width of 3.0 inches."
F0193,Composite,Oak,2.5,Rustic,Matte,Home Decor,In Stock,F0193.png,"A Rustic style frame made of Composite, finished in Matte oak, with a width of 2.5 inches."
F0194,Wood,Gold,1.0,Minimalist,Matte,Home Decor,Low Stock,F0194.png,"A Minimalist style frame made of Wood, finished in Matte gold, with a width of 1.0 inches."
F0195,Composite,Espresso,1.5,Vintage,Brushed,Museum,Low Stock,F0195.png,"A Vintage style frame made of Composite, finished in Brushed espresso, with a width of 1.5 inches."
F0196,Composite,Black,0.75,Classic,Glossy,Gallery,In Stock,F0196.png,"A Classic style frame made of Composite, finished in Glossy black, with a width of 0.75 inches."
F0197,Wood,Champagne,2.5,Modern,Satin,Gallery,In Stock,F0197.png,"A Modern style frame made of Wood, finished in Satin champagne, with a width of 2.5 inches."
F0198,Metal,Walnut,1.25,Modern,Matte,Museum,Discontinued,F0198.png,"A Modern style frame made of Metal, finished in Matte walnut, with a width of 1.25 inches."
F0199,Metal,Silver,0.75,Baroque,Matte,Museum,Low Stock,F0199.png,"A Baroque style frame made of Metal, finished in Matte silver, with a width of 0.75 inches."
F0200,Composite,Black,2.25,Minimalist,Matte,Photography,Discontinued,F0200.png,"A Minimalist style frame made of Composite, finished in Matte black, with a width of 2.25 inches."
